IliadZone,Folio,ImageRoI,Notes
"urn:cite:hmt:textblock.178",urn:cite:hmt:msA.100v,"urn:cite:hmt:vaimg.VA100VN-0603@0.448,0.2359,0.464,0.4846",book theta begins
"urn:cite:hmt:textblock.179",urn:cite:hmt:msA.101r,"urn:cite:hmt:vaimg.VA101RN-0273@0.179,0.2329,0.454,0.4974",
"urn:cite:hmt:textblock.180",urn:cite:hmt:msA.101v,"urn:cite:hmt:vaimg.VA101VN-0604@0.452,0.2479,0.44,0.4793",
"urn:cite:hmt:textblock.181",urn:cite:hmt:msA.102r,"urn:cite:hmt:vaimg.VA102RN-0274@0.187,0.2246,0.461,0.5034",
"urn:cite:hmt:textblock.182",urn:cite:hmt:msA.102v,"urn:cite:hmt:vaimg.VA102VN-0605@0.443,0.2404,0.465,0.4884",
"urn:cite:hmt:textblock.183",urn:cite:hmt:msA.103r,"urn:cite:hmt:vaimg.VA103RN-0275@0.188,0.2246,0.449,0.5169",
"urn:cite:hmt:textblock.184",urn:cite:hmt:msA.103v,"urn:cite:hmt:vaimg.VA103VN-0606@0.449,0.2464,0.419,0.4876",
"urn:cite:hmt:textblock.185",urn:cite:hmt:msA.104r,"urn:cite:hmt:vaimg.VA104RN-0276@0.184,0.2337,0.433,0.4891",
"urn:cite:hmt:textblock.186",urn:cite:hmt:msA.104v,"urn:cite:hmt:vaimg.VA104VN-0607@0.457,0.2434,0.437,0.4808",
"urn:cite:hmt:textblock.187",urn:cite:hmt:msA.105r,"urn:cite:hmt:vaimg.VA105RN-0277@0.187,0.2269,0.459,0.5267",
"urn:cite:hmt:textblock.188",urn:cite:hmt:msA.105v,"urn:cite:hmt:vaimg.VA105VN-0608@0.458,0.2442,0.432,0.4899",
"urn:cite:hmt:textblock.189",urn:cite:hmt:msA.106r,"urn:cite:hmt:vaimg.VA106RN-0278@0.188,0.2359,0.45,0.4914",
"urn:cite:hmt:textblock.190",urn:cite:hmt:msA.106v,"urn:cite:hmt:vaimg.VA106VN-0609@0.423,0.2419,0.483,0.4853",
"urn:cite:hmt:textblock.191",urn:cite:hmt:msA.107r,"urn:cite:hmt:vaimg.VA107RN-0279@0.177,0.2254,0.455,0.5101",
"urn:cite:hmt:textblock.192",urn:cite:hmt:msA.107v,"urn:cite:hmt:vaimg.VA107VN-0610@0.453,0.2404,0.441,0.4853",
"urn:cite:hmt:textblock.193",urn:cite:hmt:msA.108r,"urn:cite:hmt:vaimg.VA108RN-0280@0.164,0.2284,0.462,0.5086",
"urn:cite:hmt:textblock.194",urn:cite:hmt:msA.108v,"urn:cite:hmt:vaimg.VA108VN-0611@0.458,0.2344,0.445,0.4929",
"urn:cite:hmt:textblock.195",urn:cite:hmt:msA.109r,"urn:cite:hmt:vaimg.VA109RN-0281@0.177,0.2246,0.461,0.5124",
"urn:cite:hmt:textblock.196",urn:cite:hmt:msA.109v,"urn:cite:hmt:vaimg.VA109VN-0612@0.476,0.2382,0.438,0.4914",
"urn:cite:hmt:textblock.197",urn:cite:hmt:msA.110r,"urn:cite:hmt:vaimg.VA110RN-0282@0.177,0.2322,0.467,0.4891",
"urn:cite:hmt:textblock.198",urn:cite:hmt:msA.110v,"urn:cite:hmt:vaimg.VA110VN-0613@0.461,0.2337,0.438,0.4876",
"urn:cite:hmt:textblock.199",urn:cite:hmt:msA.111r,"urn:cite:hmt:vaimg.VA111RN-0283@0.183,0.2307,0.456,0.4974",
"urn:cite:hmt:textblock.200",urn:cite:hmt:msA.111v,"urn:cite:hmt:vaimg.VA111VN-0614@0.41,0.2442,0.489,0.4846",book iota begins
